date,sentiment,positive,negative,neutral,count
2001-05-03,0.0251,0.2673,0.2422,0.4906,1
2001-05-17,0.4428,0.5563,0.1134,0.3303,1
2001-05-18,0.6059,0.6535,0.0476,0.2988,1
2001-05-30,-0.5761,0.0348,0.6109,0.3542,1
2001-06-07,-0.4305,0.09,0.5205,0.3895,1
2001-06-19,-0.1134,0.135,0.2484,0.6166,1
2001-06-25,0.3372,0.3795,0.0423,0.5782,1
2001-07-03,0.3731,0.4152,0.0421,0.5427,1
2001-07-17,0.118,0.4365,0.3185,0.245,1
2001-09-11,-0.0381,0.2117,0.2498,0.5385,1
2001-09-20,-0.5072,0.1002,0.6074,0.2924,1
2001-09-26,0.336,0.5771,0.241,0.1819,1
2001-10-03,-0.1292,0.2653,0.3945,0.3402,1
2001-10-17,0.1399,0.20455,0.06465,0.7308,2
2001-10-23,0.6728,0.7017,0.0289,0.2694,1
2001-11-02,0.6197,0.633,0.0133,0.3537,1
2001-11-08,-0.721,0.0221,0.7431,0.2348,1
2001-11-14,0.3804,0.3942,0.0138,0.592,1
2001-11-15,-0.8256,0.0312,0.8568,0.1119,1
2001-11-30,-0.1777,0.0302,0.2079,0.7619,1
2001-12-10,-0.0734,0.072,0.1454,0.7826,1
2001-12-18,0.1427,0.1798,0.0371,0.7831,1
2002-01-03,-0.6321,0.0426,0.6747,0.2827,1
2002-01-14,0.1774,0.2082,0.0309,0.7609,1
2002-01-23,-0.5814,0.0206,0.602,0.3774,1
2002-02-05,-0.6809,0.0192,0.7001,0.2807,1
2002-02-11,0.8602,0.8791,0.0189,0.1021,1
2002-02-14,0.5266,0.5804,0.0538,0.3658,1
2002-02-25,-0.5072,0.1163,0.6236,0.2601,1
2002-02-28,0.315,0.3503,0.0353,0.6143,1
2002-03-05,-0.0592,0.2375,0.2967,0.4658,1
2002-03-12,0.5455,0.6242,0.0786,0.2972,1
2002-03-14,-0.2945,0.0391,0.3336,0.6273,1
2002-03-20,0.4958,0.5597,0.0639,0.3764,1
2002-03-21,0.3833,0.458,0.0748,0.4672,1
2002-03-22,0.574,0.6227,0.0488,0.3285,1
2002-03-26,0.2019,0.2625,0.0606,0.6769,1
2002-04-05,-0.5822,0.0169,0.5991,0.384,1
2002-04-15,-0.164,0.0273,0.1912,0.7815,1
2002-04-29,-0.2889,0.1377,0.4266,0.4357,1
2002-05-03,-0.1054,0.121,0.2264,0.6525,1
2002-05-09,0.47125,0.50365,0.032350000000000004,0.46405,2
2002-05-10,0.4284,0.56695,0.13855,0.2945,2
2002-05-17,-0.3128,0.1455,0.4583,0.3962,1
2002-05-22,0.35195,0.4102,0.0582,0.5316,2
2002-05-23,0.1166,0.1611,0.0445,0.7944,1
2002-05-24,-0.7257,0.0192,0.7449,0.236,1
2002-05-28,-0.033,0.2178,0.2508,0.5314,1
2002-05-30,-0.5522,0.034,0.5862,0.3798,1
2002-06-03,0.3265,0.4518,0.1253,0.42290000000000005,2
2002-06-10,0.0394,0.0731,0.0337,0.8932,1
2002-06-11,0.2277,0.2881,0.0605,0.6514,1
2002-06-12,0.4524,0.4909,0.0385,0.4706,1
2002-06-13,-0.6937,0.0349,0.7286,0.2365,1
2002-06-14,0.3634,0.3878,0.0245,0.5877,1
2002-06-17,-0.1515,0.0852,0.2367,0.6781,1
2002-06-27,0.1159,0.3497,0.2337,0.4166,1
2002-06-28,-0.2908,0.0665,0.3573,0.5762,1
2002-07-05,0.5901,0.6099,0.0199,0.3702,1
2002-07-08,-0.0699,0.3058,0.3757,0.3185,1
2002-07-11,-0.2839,0.1296,0.4135,0.4569,1
2002-07-15,-0.5658,0.0281,0.5939,0.3781,1
2002-07-19,0.2357,0.3819,0.1463,0.4718,1
2002-07-22,-0.5335,0.0495,0.583,0.3675,1
2002-07-31,0.1138,0.2865,0.1727,0.5408,1
2002-08-01,-0.2963,0.1399,0.4362,0.4239,1
2002-08-02,0.6746,0.7202,0.0456,0.2343,1
2002-08-06,0.3021,0.5608,0.2587,0.1805,1
2002-08-08,-0.565,0.0467,0.6117,0.3416,1
2002-08-14,-0.3571,0.0988,0.4558,0.4454,1
2002-08-27,0.1678,0.4146,0.2468,0.3386,1
2002-09-05,0.2267,0.4125,0.1858,0.4017,1
2002-09-11,-0.5347,0.031,0.5657,0.4033,1
2002-09-23,0.1238,0.1606,0.0368,0.8026,1
2002-09-29,-0.0558,0.0758,0.1316,0.7927,1
2002-09-30,0.6496,0.7077,0.0581,0.2343,1
2002-10-11,0.149,0.2309,0.0819,0.6872,1
2002-10-15,-0.2187,0.0301,0.2488,0.7211,1
2002-10-19,-0.7623,0.0167,0.779,0.2043,1
2002-10-30,-0.2248,0.2247,0.4495,0.3258,1
2002-11-27,0.0448,0.06,0.0152,0.9247,1
2002-12-02,-0.5243,0.0734,0.5977,0.3288,1
2002-12-06,0.7591,0.774,0.0149,0.2111,1
2002-12-12,0.4695,0.5275,0.058,0.4145,1
2002-12-13,-0.04824999999999999,0.24655,0.29479999999999995,0.45865,2
2002-12-16,-0.07379999999999999,0.1612,0.23500000000000001,0.60385,2
2002-12-20,0.0612,0.1629,0.1018,0.7353,1
2002-12-23,0.6107,0.6486500000000001,0.03795,0.3134,2
2002-12-26,-0.4601,0.065,0.5252,0.4098,1
2003-01-06,-0.0375,0.2585,0.296,0.4456,1
2003-01-14,-0.3595,0.1118,0.4713,0.4169,1
2003-01-16,0.4859,0.5872,0.1013,0.3115,1
2003-01-21,0.5827,0.62325,0.04055,0.3362,2
2003-01-23,0.67,0.6967,0.0267,0.2766,1
2003-02-04,0.09165,0.1434,0.0518,0.8048,2
2003-02-05,0.04055,0.2775,0.23695,0.48555000000000004,2
2003-02-07,0.5699,0.6074,0.0375,0.3552,1
2003-02-10,-0.3006,0.14103333333333334,0.44166666666666665,0.4173,3
2003-02-11,-0.14239999999999997,0.1339,0.27635,0.58975,2
2003-02-12,-0.7402,0.0154,0.7556,0.229,1
2003-02-14,-0.6388,0.0173,0.6561,0.3266,1
2003-02-18,-0.58265,0.0224,0.60505,0.37255,2
2003-02-26,-0.6618,0.0835,0.7453,0.1711,1
2003-03-18,0.6033,0.63,0.0267,0.3433,1
2003-03-20,-0.3947,0.0832,0.4779,0.4389,1
2003-03-21,-0.4316,0.0791,0.5107,0.4102,1
2003-03-24,0.5329,0.5536,0.0207,0.4258,1
2003-03-30,0.6643,0.6815,0.0172,0.3013,1
2003-04-02,-0.5308,0.0183,0.5492,0.4325,1
2003-04-03,-0.6143000000000001,0.0353,0.6496500000000001,0.315,2
2003-04-07,-0.2833,0.08755,0.37085,0.5416,2
2003-04-08,0.4794,0.5102,0.0308,0.459,1
2003-04-09,0.5555333333333333,0.5884333333333334,0.032933333333333335,0.37860000000000005,3
2003-04-17,0.0056,0.0845,0.0789,0.8366,1
2003-04-21,0.1443,0.2429,0.0985,0.6586,1
2003-04-24,0.3835,0.4922,0.1087,0.399,1
2003-04-25,0.2323,0.4935,0.2613,0.2452,1
2003-05-01,0.6527,0.6793,0.0266,0.2942,1
2003-05-06,0.26254999999999995,0.41545000000000004,0.1529,0.4317,2
2003-05-09,-0.2344,0.199,0.4334,0.3676,1
2003-05-12,0.3132,0.4417,0.1286,0.4297,1
2003-05-14,0.75515,0.78345,0.0283,0.1882,2
2003-05-16,-0.3364,0.1306,0.4669,0.4025,1
2003-05-19,0.51335,0.5808,0.0675,0.35165,2
2003-05-21,0.2561,0.4088,0.1526,0.4386,1
2003-05-23,0.0512,0.0782,0.027,0.8948,1
2003-05-27,0.0327,0.2909,0.2581,0.451,1
2003-05-28,-0.7612,0.0153,0.7766,0.2081,1
2003-05-30,-0.6345,0.0201,0.6546,0.3253,1
2003-06-02,-0.6614,0.0396,0.7009,0.2595,1
2003-06-09,-0.4215,0.0554,0.4769,0.4677,1
2003-06-11,0.5449999999999999,0.5729500000000001,0.0279,0.39915,2
2003-06-12,0.1541,0.4008,0.2467,0.3526,1
2003-06-13,-0.4953,0.0321,0.5274,0.4404,1
2003-06-16,0.1399,0.3363,0.1965,0.4672,1
2003-06-18,0.0628,0.0888,0.026,0.8852,1
2003-06-19,0.1178,0.1354,0.0176,0.847,1
2003-06-23,0.0899,0.23,0.1401,0.6298,1
2003-06-25,-0.011399999999999966,0.3388,0.35025,0.311,2
2003-06-26,0.2302,0.3639,0.1337,0.5024,1
2003-06-27,-0.015849999999999975,0.30985,0.3257,0.36445,2
2003-07-02,-0.0195,0.0683,0.0878,0.8439,1
2003-07-03,0.4801,0.5294,0.0492,0.4214,1
2003-07-10,-0.3565,0.1114,0.4679,0.4206,1
2003-07-15,-0.6507,0.017,0.6677,0.3153,1
2003-07-16,-0.0777,0.1048,0.1825,0.7127,1
2003-07-23,0.551,0.6583,0.1073,0.2344,1
2003-07-25,0.6015,0.6478,0.0463,0.3059,1
2003-07-29,0.2218,0.3537,0.1319,0.5143,1
2003-07-30,-0.5786,0.0448,0.6234,0.3318,1
2003-08-01,-0.2856,0.2259,0.5115,0.2627,2
2003-08-04,0.0309,0.06,0.0291,0.9109,1
2003-08-05,-0.2415,0.1007,0.3422,0.5571,1
2003-08-11,0.4502,0.4948,0.0446,0.4605,1
2003-08-12,-0.5586,0.0252,0.5838,0.3911,1
2003-08-13,0.30773333333333336,0.3616333333333333,0.053866666666666674,0.5844999999999999,3
2003-08-14,0.6045,0.6241,0.0196,0.3564,1
2003-08-15,-0.2989,0.1363,0.4353,0.4284,1
2003-08-18,-0.0198,0.0584,0.0781,0.8635,1
2003-08-21,-0.2496,0.184,0.4336,0.3823,1
2003-08-22,-0.4675,0.0688,0.5363,0.395,1
2003-08-25,-0.5549,0.0304,0.5853,0.3843,1
2003-08-27,0.708,0.7461,0.0381,0.2157,1
2003-08-29,0.5346,0.6924,0.1579,0.1497,1
2003-09-02,-0.5715,0.0194,0.591,0.3896,1
2003-09-03,0.523,0.556,0.033,0.4111,1
2003-09-04,-0.5432,0.0486,0.5918,0.3596,1
2003-09-05,0.36224999999999996,0.39315,0.03085,0.576,2
2003-09-08,-0.44105,0.105,0.54605,0.34895,2
2003-09-09,0.31983333333333336,0.3717,0.05183333333333334,0.5764666666666667,3
2003-09-15,-0.55615,0.0557,0.6119,0.33240000000000003,2
2003-09-19,0.6629,0.6974,0.0345,0.2681,1
2003-09-22,0.54955,0.5889,0.039349999999999996,0.3718,2
2003-09-25,0.2266,0.2654,0.0389,0.6957,1
2003-09-28,0.0851,0.1055,0.0203,0.8742,1
2003-09-30,0.8085,0.8382,0.0297,0.132,1
2003-10-01,-0.7471,0.0183,0.7654,0.2163,1
2003-10-02,0.2716,0.4063,0.1347,0.459,1
2003-10-03,-0.5948,0.0221,0.6169,0.361,1
2003-10-08,0.5326,0.6087,0.0761,0.3152,1
2003-10-13,0.4814,0.5431,0.0617,0.3952,1
2003-10-14,0.0421,0.061,0.0189,0.9201,1
2003-10-16,0.2543,0.4405,0.1862,0.3732,1
2003-10-23,-0.28065,0.1333,0.41395,0.4527,2
2003-10-27,-0.038950000000000005,0.1837,0.22265000000000001,0.59365,2
2003-10-28,-0.179,0.0314,0.2104,0.7582,1
2003-10-31,-0.09559999999999996,0.31505,0.41064999999999996,0.2743,2
2003-11-04,0.5395,0.6021,0.0626,0.3354,1
2003-11-05,0.1563,0.2506,0.0943,0.6551,1
2003-11-06,-0.64115,0.02745,0.66855,0.304,2
2003-11-10,-0.18005,0.134,0.31410000000000005,0.5519000000000001,2
2003-11-12,0.6195999999999999,0.66435,0.044700000000000004,0.29095,2
2003-11-17,-0.3064,0.1147,0.4211,0.4642,1
2003-11-19,-0.5983,0.0375,0.6358,0.3267,1
2003-11-24,-0.5428,0.0418,0.5846,0.3735,1
2003-11-28,0.5122,0.5742,0.062,0.3637,1
2003-12-01,0.3019,0.3426,0.0407,0.6167,1
2003-12-03,-0.1193,0.1824,0.3016,0.516,1
2003-12-09,-0.2532,0.1558,0.409,0.4352,1
2003-12-15,-0.4389,0.0498,0.4887,0.4615,1
2003-12-16,-0.4807,0.0348,0.5154,0.4498,1
2003-12-19,-0.38989999999999997,0.09436666666666667,0.4842666666666666,0.42133333333333334,3
2003-12-23,0.10060000000000002,0.35325,0.25265,0.39415,2
2003-12-26,0.53305,0.6055999999999999,0.07255,0.3219,2
2003-12-29,0.1425,0.1766,0.0341,0.7893,1
2003-12-30,0.28745,0.35765,0.07020000000000001,0.57215,2
2003-12-31,0.6338,0.6499,0.0161,0.3341,1
2004-01-08,0.4424,0.4968,0.0545,0.4487,1
2004-01-09,0.1439,0.2372,0.0932,0.6696,1
2004-01-13,-0.5215,0.0249,0.5464,0.4286,1
2004-01-14,-0.31405,0.22190000000000001,0.53595,0.24215,2
2004-01-15,-0.573,0.02635,0.59935,0.37424999999999997,2
2004-01-20,0.5625,0.5875,0.025,0.3874,1
2004-01-21,0.2794,0.4064,0.127,0.4665,1
2004-01-23,0.5087,0.5299,0.0212,0.4489,1
2004-01-26,-0.35329999999999995,0.07629999999999999,0.4296,0.49405,2
2004-01-27,0.0216,0.2911,0.2695,0.4394,1
2004-01-28,-0.1938,0.1357,0.3295,0.5348,1
2004-01-29,-0.7266,0.0169,0.7435,0.2396,1
2004-02-03,0.7166,0.7356,0.019,0.2454,1
2004-02-05,0.2073,0.4066,0.1994,0.394,1
2004-02-06,-0.3532,0.1543,0.5075,0.3382,1
2004-02-11,0.2274,0.42,0.1926,0.38744999999999996,2
2004-02-12,0.20605,0.3917,0.18564999999999998,0.42264999999999997,2
2004-02-13,-0.1934,0.15203333333333333,0.3454,0.5026,3
2004-02-17,0.42635,0.5374,0.11105,0.35155000000000003,2
2004-02-18,-0.10849999999999999,0.28255,0.39104999999999995,0.3264,2
2004-02-19,-0.1198,0.1302,0.25,0.6197,1
2004-02-20,-0.6498,0.0317,0.6815,0.2868,1
2004-02-23,0.3332,0.441,0.1078,0.4512,1
2004-02-24,0.4141,0.4563,0.0422,0.5015,1
2004-02-26,-0.2119,0.1581,0.37,0.4719,1
2004-03-01,0.20026666666666668,0.26463333333333333,0.0644,0.6709999999999999,3
2004-03-02,-0.68835,0.017,0.7054,0.27759999999999996,2
2004-03-09,0.2951,0.41495,0.11989999999999999,0.46515,2
2004-03-11,0.4987,0.564,0.0653,0.3707,1
2004-03-12,-0.7848,0.0142,0.799,0.1868,1
2004-03-17,0.2659,0.39525,0.12940000000000002,0.47535,2
2004-03-18,0.18664999999999998,0.3509,0.16425,0.48485,2
2004-03-22,0.5254,0.5466,0.0212,0.4323,1
2004-03-23,0.4402,0.4869,0.0467,0.4665,1
2004-03-24,-0.1431,0.18905,0.33215,0.4788,2
2004-03-30,0.7185,0.7648,0.0463,0.1888,1
2004-04-01,-0.3264,0.0989,0.4254,0.4757,1
2004-04-02,0.1733,0.4357,0.26239999999999997,0.3019,2
2004-04-06,0.4304,0.4967,0.0662,0.4371,1
2004-04-07,0.0401,0.3041,0.264,0.432,2
2004-04-08,-0.6258,0.0198,0.6456,0.3346,1
2004-04-20,-0.7777,0.0161,0.7938,0.1901,1
2004-04-21,-0.4887,0.0417,0.5305,0.4278,1
2004-04-23,-0.4332,0.0662,0.4993,0.4345,1
2004-04-27,-0.2824,0.0849,0.3673,0.5479,1
2004-05-05,-0.4103,0.0831,0.4934,0.4235,1
2004-05-07,-0.5261,0.0205,0.5466,0.4328,1
2004-05-10,-0.5542,0.0284,0.5825,0.3891,1
2004-05-11,-0.6406,0.023,0.6636,0.3133,1
2004-05-14,0.0671,0.3146,0.2474,0.438,1
2004-05-17,0.153,0.3197,0.1667,0.5136,1
2004-05-19,0.2629,0.3724,0.1094,0.5182,1
2004-05-20,-0.549,0.028,0.5771,0.3949,1
2004-05-21,0.5718,0.5935,0.0217,0.3848,1
2004-05-27,0.1748,0.1969,0.0221,0.7811,1
2004-05-28,0.1177,0.1417,0.024,0.8342,1
2004-06-01,-0.5619,0.0341,0.596,0.37,1
2004-06-07,0.5498,0.5701,0.0202,0.4097,1
2004-06-09,-0.5438,0.0355,0.5793,0.3852,1
2004-06-15,-0.5336,0.0358,0.5693,0.3949,1
2004-06-18,0.5379,0.5577,0.0198,0.4225,1
2004-06-22,0.6938,0.7099,0.0161,0.274,1
2004-06-23,0.6363,0.6579,0.0215,0.3206,1
2004-06-24,-0.10070000000000001,0.22495,0.3257,0.44935,2
2004-06-28,-0.6539,0.0138,0.6676,0.3186,1
2004-07-01,0.4303,0.4896,0.0593,0.4512,1
2004-07-02,0.3828,0.5076,0.1248,0.3676,1
2004-07-06,0.3396,0.4525,0.1129,0.4345,1
2004-07-08,-0.5268,0.0251,0.5519,0.4231,1
2004-07-12,-0.0475,0.2249,0.2725,0.5026,1
2004-07-13,-0.5233,0.061799999999999994,0.5851500000000001,0.35305,2
2004-07-14,0.6139,0.6584,0.0445,0.2971,1
2004-07-15,0.01730000000000001,0.2958,0.27849999999999997,0.42569999999999997,2
2004-07-19,0.6455,0.6634,0.0179,0.3188,1
2004-07-20,-0.54225,0.03265,0.5749,0.39244999999999997,2
2004-07-22,-0.29259999999999997,0.14465,0.43727499999999997,0.41805000000000003,4
2004-07-27,-0.221275,0.1661,0.38734999999999997,0.44655,4
2004-07-28,0.09723333333333332,0.2884,0.19113333333333335,0.5205000000000001,3
2004-07-30,-0.17679999999999998,0.22166666666666665,0.3984666666666667,0.37986666666666663,3
2004-08-02,-0.6699,0.0491,0.719,0.2319,1
2004-08-03,-0.5557,0.0263,0.582,0.3916,1
2004-08-04,0.6484,0.6666,0.0182,0.3152,1
2004-08-05,-0.5681333333333333,0.029633333333333334,0.5978,0.3726,3
2004-08-06,0.6391,0.6685,0.0294,0.3022,1
2004-08-09,-0.21639999999999998,0.1727,0.38905,0.43825000000000003,2
2004-08-10,-0.51955,0.02695,0.54655,0.4265,2
2004-08-11,-0.11694999999999997,0.2237,0.3407,0.4356,2
2004-08-12,-0.5588,0.0247,0.5836,0.3917,1
2004-08-13,-0.5776,0.0212,0.5988,0.38,1
2004-08-17,-0.1466,0.1917,0.3383,0.47,1
2004-08-19,0.4277,0.46925,0.04155,0.489225,4
2004-08-23,-0.5527666666666667,0.031566666666666666,0.5843666666666666,0.3840666666666666,3
2004-08-24,-0.5892999999999999,0.024,0.6133,0.3628,2
2004-08-25,0.4093,0.486675,0.07735,0.43594999999999995,4
2004-08-27,-0.5255,0.0223,0.5478,0.4299,1
2004-08-30,0.5381,0.5597,0.0215,0.4188,1
2004-08-31,0.1612,0.37506666666666666,0.21383333333333332,0.4111,3
2004-09-01,-0.5657,0.0282,0.5939,0.3779,2
2004-09-02,-0.2924,0.08436666666666666,0.3767333333333333,0.5388666666666667,3
2004-09-07,-0.3872,0.06163333333333334,0.4488666666666666,0.4895333333333333,3
2004-09-08,0.08113333333333331,0.3256,0.2444666666666667,0.4299666666666666,3
2004-09-09,0.6535,0.6718,0.0183,0.3098,1
2004-09-10,0.5672,0.5896,0.0224,0.388,1
2004-09-15,-0.5523,0.0557,0.608,0.3363,1
2004-09-21,0.4666,0.477,0.0105,0.5125,1
2004-09-23,0.5711,0.6017,0.0306,0.3677,1
2004-09-29,0.1133,0.1581,0.0449,0.797,1
2004-09-30,0.701,0.7376,0.0366,0.2258,1
2004-10-01,-0.5535,0.0317,0.5852,0.3832,1
2004-10-03,0.094,0.1313,0.0373,0.8314,1
2004-10-04,-0.555,0.0232,0.5782,0.3986,1
2004-10-05,0.5871,0.6169,0.0298,0.3533,2
2004-10-06,-0.5726,0.0234,0.596,0.3806,2
2004-10-07,0.2243,0.47109999999999996,0.24675,0.28215,2
2004-10-08,0.3385,0.4194,0.0809,0.4997,1
2004-10-11,-0.5412,0.0231,0.5643,0.4126,1
2004-10-12,-0.5522666666666667,0.0322,0.5844333333333334,0.38339999999999996,3
2004-10-15,-0.6009,0.0705,0.6715,0.258,1
2004-10-18,-0.030100000000000016,0.21266666666666667,0.24273333333333336,0.5446333333333333,3
2004-10-20,0.26611666666666667,0.3263,0.06016666666666665,0.6135166666666668,6
2004-10-21,-0.306,0.1217,0.4278,0.4505,1
2004-10-25,0.45447499999999996,0.557375,0.102925,0.3397,4
2004-10-26,-0.3616,0.049966666666666666,0.4115,0.5385,3
2004-10-27,-0.5167,0.037,0.5537,0.4093,1
2004-10-28,0.31389999999999996,0.45410000000000006,0.14024999999999999,0.40559999999999996,2
2004-10-29,0.7025,0.7255499999999999,0.023100000000000002,0.25135,2
2004-11-01,-0.5372,0.0543,0.5914,0.3543,1
2004-11-02,-0.19419999999999998,0.12535000000000002,0.31955,0.55505,2
2004-11-03,0.4174,0.4702,0.0529,0.4769,1
2004-11-05,0.5528,0.5856,0.0327,0.38170000000000004,2
2004-11-08,-0.5166,0.0278,0.5444,0.4278,1
2004-11-09,0.5654,0.5864,0.021,0.3926,1
2004-11-10,-0.5326,0.0318,0.5644,0.4038,1
2004-11-11,0.526,0.54825,0.02225,0.42945,2
2004-11-12,0.64825,0.6816,0.03335,0.28504999999999997,2
2004-11-15,-0.5285,0.0306,0.5591,0.4102,1
2004-11-17,0.2753,0.3394,0.0641,0.5965,1
2004-11-18,-0.06825,0.24825,0.3165,0.43525,2
2004-11-19,0.4752,0.5217,0.0465,0.4317,1
2004-11-22,0.2192,0.273,0.05385,0.67315,2
2004-11-23,-0.25606666666666666,0.16933333333333334,0.42543333333333333,0.4052,3
2004-11-24,0.5384500000000001,0.56285,0.024399999999999998,0.41269999999999996,2
2004-11-29,0.09659999999999998,0.32706,0.23048000000000002,0.44245999999999996,5
2004-11-30,-0.4237,0.04046666666666667,0.46416666666666667,0.49543333333333334,3
2004-12-01,0.5546,0.6438,0.0892,0.267,1
2004-12-02,0.28645,0.31405,0.027549999999999998,0.6584,2
2004-12-03,0.03631666666666666,0.3545833333333334,0.3183,0.32713333333333333,6
2004-12-06,-0.5122666666666666,0.06333333333333334,0.5756,0.3611,3
2004-12-07,-0.7657,0.0182,0.7839,0.19795,2
2004-12-08,-0.570225,0.024024999999999998,0.5942000000000001,0.381775,4
2004-12-10,-0.6594500000000001,0.01645,0.6759,0.30765,2
2004-12-13,0.5778,0.6143,0.0365,0.3492,1
2004-12-14,-0.50115,0.0716,0.5728,0.3556,2
2004-12-15,0.5874666666666667,0.6241,0.03663333333333333,0.33923333333333333,3
2004-12-16,0.2118,0.4167,0.205,0.3783,1
2004-12-17,0.5546,0.5765,0.022,0.4015,1
2004-12-22,-0.27296666666666664,0.13893333333333333,0.41193333333333326,0.4491333333333334,3
2004-12-23,0.20993333333333333,0.3798333333333333,0.16990000000000002,0.45026666666666665,3
2004-12-27,0.309,0.437925,0.128925,0.4331,4
2005-01-03,-0.5112,0.05023333333333333,0.5614666666666667,0.38830000000000003,3
2005-01-06,-0.007749999999999979,0.3468,0.35455,0.29869999999999997,2
2005-01-07,-0.013500000000000012,0.30125,0.31475,0.384,2
2005-01-10,0.45799999999999996,0.5130333333333333,0.055066666666666673,0.4318666666666666,3
2005-01-12,0.3997,0.4683,0.0686,0.463,1
2005-01-13,-0.6421333333333333,0.026333333333333334,0.6684666666666667,0.30519999999999997,3
2005-01-14,0.15690000000000004,0.4684,0.3115,0.22015,2
2005-01-18,0.07967500000000002,0.27775,0.198025,0.5242249999999999,4
2005-01-19,-0.019620000000000037,0.28434,0.30394,0.41167999999999993,5
2005-01-20,-0.5690999999999999,0.02245,0.59155,0.38605,2
2005-01-21,0.0883,0.22565000000000002,0.13735,0.637,2
2005-01-24,-0.2865,0.026,0.3125,0.6615,1
2005-01-25,-0.27006,0.10030000000000001,0.37038000000000004,0.52934,5
2005-01-26,0.5846,0.6086,0.024,0.3673,1
2005-01-27,-0.55935,0.02595,0.58535,0.3887,2
2005-02-01,-0.602,0.01925,0.6213,0.35945,2
2005-02-02,-0.5457000000000001,0.02255,0.5682499999999999,0.4092,2
2005-02-03,-0.8291,0.0124,0.8415,0.1461,1
2005-02-04,-0.56525,0.026999999999999996,0.5922499999999999,0.38075000000000003,2
2005-02-08,-0.18275000000000002,0.034050000000000004,0.21685,0.7491,2
2005-02-10,0.69,0.70785,0.01785,0.2743,2
2005-02-14,-0.52405,0.02645,0.5505,0.42305000000000004,2
2005-02-15,-0.5085,0.0296,0.5382,0.4322,1
2005-02-17,-0.0972,0.1215,0.2187,0.6598,1
2005-02-24,0.472,0.4972,0.0251,0.4777,1
2005-03-03,0.679,0.6968,0.0178,0.2854,1
2005-03-07,0.5254,0.5495,0.0242,0.4263,1
2005-03-08,-0.3229,0.0523,0.3752,0.5725,1
2005-03-10,-0.0654,0.1491,0.2145,0.6364,1
2005-03-11,-0.1493,0.1783,0.3276,0.4941,1
2005-03-15,-0.5372,0.0334,0.5706,0.396,1
2005-03-21,-0.5118,0.0334,0.5452,0.42145,2
2005-03-22,0.0635,0.0842,0.0207,0.8951,1
2005-03-24,-0.0152,0.0575,0.0727,0.8698,1
2005-03-30,0.30029999999999996,0.3417,0.04135,0.61695,2
2005-04-03,0.0869,0.1255,0.0386,0.8359,1
2005-04-04,0.21819999999999998,0.40845,0.19025,0.40135,2
2005-04-12,0.693,0.7093,0.0163,0.2744,1
2005-04-15,0.1208,0.1587,0.0379,0.8033,1
2005-04-18,0.0945,0.1408,0.0463,0.8128,1
2005-05-09,0.07023333333333336,0.227,0.1568,0.6162000000000001,3
2005-05-10,-0.0584,0.2717,0.3301,0.3983,1
2005-05-13,-0.1589,0.2473,0.4062,0.3465,1
